"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","%D","ADP","Ros","GP","G","A","A1","A2","PIM","SOG","Shot%","TS%","PPP","Hit","Blk","TOIES","TOIPP","TOISH","Cor","ZS%"
"*02f9l*","Nathan MacKinnon","COL","C","1","Joel","30","@LAK Tue 8:30PM","7,995,000","2030","790.5","10.01","100","1.3","99%","79","32","84","53","31","41","320","10.0","5.4","38","38","58","1492:45","302:32","04:32","573","0.71"
"*02b70*","Nikita Kucherov","TBL","RW","2","Abby","32","","7,629,757","2025","765.75","9.82","100","3.4","99%","78","37","84","56","28","45","265","14.0","6.7","46","23","33","1353:24","298:44","00:39","173","0.68"
"*03d12*","David Pastrnak","BOS","RW","3","Chris","29","","6,948,604","2025","759.8","9.27","100","7.3","99%","82","43","63","45","18","42","319","13.5","6.9","23","58","24","1370:13","283:00","02:03","106","0.76"
"*02yjl*","Leon Draisaitl","EDM","C,LW","4","Seth","29","","7,800,000","2030","715.25","10.07","100","4.5","99%","71","52","54","30","24","34","240","21.7","12.5","33","23","27","1291:04","232:52","03:48","442","0.68"
"*03kra*","Kyle Connor","WPG","LW","5","Chris","28","","6,670,750","2028","685.15","8.36","100","16.6","99%","82","41","56","31","25","25","267","15.4","8.5","28","21","46","1374:13","232:49","65:20","-71","0.71"
"*04alw*","Cale Makar","COL","D","6","Joel","26","@LAK Tue 8:30PM","6,629,000","2030","676.95","8.46","100","5","99%","80","30","62","34","28","14","246","12.2","4.8","35","51","128","1594:24","291:37","171:17","421","0.67"
"*03ra7*","Zach Werenski","CBJ","D","7","Shannon","28","","4,839,000","2028","652.85","8.06","100","14.3","100%","81","23","59","32","27","31","298","7.7","3.6","25","19","131","1819:13","217:39","129:30","132","0.62"
"*042yb*","Brandon Hagel","TBL","LW","8","Shannon","27","","3,329,702","2025","634.35","7.74","100","36.6","99%","82","35","55","33","21","58","228","15.4","7.9","11","59","60","1328:36","219:07","153:14","203","0.52"
"*03924*","Jack Eichel","VGK","C","9","Chris","28","","3,298,000","1st","628.1","8.16","100","12.7","99%","77","28","66","27","39","8","233","12.0","6.9","34","22","55","1247:38","213:14","120:13","75","0.67"
"*02fzm*","Filip Forsberg","NSH","LW","10","Logan","31","","4,168,521","2025","626.45","7.64","100","18.5","99%","82","31","45","24","21","44","281","11.0","5.1","26","151","52","1265:06","260:19","02:04","141","0.72"
"*00454*","Sidney Crosby","PIT","C","11","Daniel","38","@NYR Tue 6:00PM","3,642,000","1st","625.15","7.81","100","31.6","99%","80","33","58","33","25","31","227","14.5","8.0","27","67","39","1372:23","252:07","05:28","108","0.68"
"*02yjj*","William Nylander","TOR","RW","12","Murica","29","","3,771,000","1st","620.1","7.56","100","19.3","99%","82","45","39","23","16","26","253","17.8","9.7","30","14","27","1334:25","263:23","01:59","-71","0.65"
"*03jxy*","Auston Matthews","TOR","C","13","Adam","27","","6,287,000","2027","616.45","9.2","100","6.4","99%","67","33","45","27","18","20","261","12.6","6.9","25","45","89","1062:44","200:34","108:20","60","0.62"
"*03jvu*","Mitch Marner","VGK","RW","14","Shannon","28","","3,384,000","1st","615.35","7.6","100","17","99%","81","27","75","47","28","14","173","15.6","6.9","33","49","40","1311:30","241:22","173:41","-10","0.59"
"*02un4*","Connor McDavid","EDM","C","15","Shannon","28","","7,501,530","2025","608.2","9.08","100","1.8","100%","67","26","74","50","24","27","196","13.3","7.0","31","40","18","1255:27","216:02","04:37","516","0.72"
"*02un5*","Sam Reinhart","FLA","RW","16","Abby","29","CHI Tue 3:00PM","4,577,943","2024","607.85","7.69","100","20.1","100%","79","39","42","24","18","27","213","18.3","9.2","30","103","62","1240:04","256:18","123:19","421","0.67"
"*03bfj*","Artemi Panarin","NYR","LW","17","Adam","33","PIT Tue 6:00PM","4,557,000","2026","605.9","7.57","100","22.3","97%","80","37","52","27","25","16","237","15.6","6.3","26","18","11","1322:48","250:49","01:02","209","0.75"
"*02azb*","Mark Scheifele","WPG","C","18","Murica","32","","3,653,657","2024","600.95","7.33","100","60.9","99%","82","39","48","32","16","61","181","21.5","11.5","25","73","60","1432:56","231:01","12:07","-111","0.70"
"*03mn9*","Mikko Rantanen","DAL","RW","19","Adam","28","","4,181,000","1st","598.4","7.3","100","13.1","99%","82","32","56","34","22","60","212","15.1","7.2","26","48","44","1425:02","315:56","01:28","264","0.69"
"*03mn8*","Clayton Keller","UTA","LW","20","Daniel","27","","4,487,597","2026","590.35","7.29","100","31.3","99%","81","30","60","26","34","28","218","13.8","6.7","37","11","30","1266:51","278:52","02:51","214","0.71"
"*048xc*","Nick Suzuki","MTL","C","21","Abby","26","","5,072,000","2028","587.65","7.17","100","51","99%","82","30","59","33","26","8","172","17.4","8.6","27","63","71","1313:30","279:33","51:55","102","0.65"
"*031p0*","Jake Guentzel","TBL","LW","22","Daniel","30","","5,318,198","2025","586.9","7.34","100","28","100%","80","41","39","21","18","24","217","18.9","11.5","28","28","52","1285:56","273:55","39:34","83","0.68"
"*04xec*","Matt Boldy","MIN","LW,RW","23","Logan","24","","3,403,049","2025","583.2","7.11","100","32.4","100%","82","27","46","23","23","51","271","10.0","4.9","21","52","69","1371:35","260:50","31:13","53","0.59"
"*004cq*","Alex Ovechkin","WSH","LW,RW","24","Logan","39","","3,016,000","1st","579.9","8.92","100","40.8","96%","65","44","29","19","10","14","237","18.6","8.7","22","110","13","881:07","269:38","01:20","-21","0.83"
"*042t5*","Tage Thompson","BUF","C,RW","25","Logan","27","","4,233,360","2027","578.4","7.61","100","29.9","99%","76","44","28","17","10","35","242","18.2","8.7","16","70","31","1198:42","220:47","06:00","80","0.64"
"*04dwj*","Jason Robertson","DAL","LW","26","Nate","26","","3,568,000","1st","575.2","7.01","100","27.1","99%","82","35","45","22","23","18","211","16.6","8.6","19","60","45","1206:22","252:33","00:09","22","0.59"
"*03e1m*","Brayden Point","TBL","C","27","Jason","29","","6,859,000","2030","573.3","7.45","100","33.7","99%","77","42","40","23","17","7","189","22.2","11.8","31","26","45","1231:30","266:43","01:41","-3","0.69"
"*03e1n*","Adrian Kempe","LAK","RW","28","Daniel","28","COL Tue 8:30PM","4,185,652","2025","570.9","7.05","100","46","99%","81","35","38","27","11","36","237","14.8","7.1","18","100","36","1212:25","222:46","116:24","84","0.59"
"*042ye*","Jesper Bratt","NJD","RW","29","Murica","27","","3,076,000","1st","565","6.98","100","30.5","100%","81","21","67","36","31","18","180","11.7","5.4","34","96","42","1178:47","230:37","125:24","218","0.76"
"*01f3e*","Nazem Kadri","CGY","C","30","Adam","34","","3,447,000","2025","562.05","6.85","100","103.1","96%","82","35","32","19","13","72","279","12.5","6.4","22","55","30","1341:32","238:38","06:56","163","0.69"
"*02b3o*","Rickard Rakell","PIT","LW,RW","31","Joel","32","@NYR Tue 6:00PM","1,899,000","1st","559.6","6.91","100","91.3","97%","81","35","35","19","16","14","203","17.2","8.6","19","116","77","1345:19","217:15","00:32","107","0.68"
"*04kyh*","Brady Tkachuk","OTT","LW","32","Daniel","25","","4,064,000","1st","558.7","7.76","100","11.8","99%","72","29","26","15","11","123","296","9.8","5.7","23","228","33","1070:13","241:24","01:29","173","0.66"
"*01c12*","John Tavares","TOR","C","33","Seth","34","","4,630,633","2025","557.5","7.43","100","80","98%","75","38","36","20","16","46","200","19.0","11.1","20","92","45","1152:23","213:07","01:25","-195","0.59"
"*03v70*","Alex DeBrincat","DET","LW","34","Seth","27","","4,118,000","2025","556.05","6.78","100","60.6","99%","82","39","31","22","8","29","244","16.0","8.6","29","33","38","1218:02","245:27","01:57","38","0.66"
"*04mv2*","Cole Caufield","MTL","LW","35","Joel","24","","4,823,000","2028","554","6.76","100","47","99%","82","37","33","22","11","14","240","15.4","8.6","17","66","31","1227:46","253:43","00:45","62","0.70"
"*03d09*","Alex Tuch","BUF","RW","36","Abby","29","","2,849,000","1st","551.95","6.73","100","65.1","99%","82","36","31","15","16","47","196","18.4","9.2","11","73","113","1212:14","190:06","176:31","31","0.59"
"*042vl*","Jordan Kyrou","STL","RW","37","Chris","27","","4,386,317","2026","549.8","6.7","100","77.8","98%","82","36","34","20","14","20","239","15.1","7.7","17","50","36","1245:20","187:07","01:07","140","0.67"
"*049k7*","Martin Necas","COL","RW","38","Chris","26","@LAK Tue 8:30PM","4,221,000","2026","548.8","6.95","100","39.5","100%","79","27","56","32","24","16","194","13.9","6.9","37","62","23","1212:47","283:23","04:43","435","0.71"
"*02noj*","Tom Wilson","WSH","RW","39","Chris","31","","2,286,000","1st","538.05","6.64","99","85.2","95%","81","33","32","21","11","100","169","19.5","9.9","17","233","71","1161:13","227:04","128:35","8","0.63"
"*04ymt*","Lucas Raymond","DET","RW","40","Logan","23","","3,698,084","2026","535.9","6.54","100","59.3","99%","82","27","53","28","25","18","192","14.1","7.1","37","42","34","1228:07","252:32","59:35","93","0.59"
